id;name;domain;createdate;hs_canonical_object_id;resolved_canonical_id;is_canonical
6997705742;Luonnonvarakeskus;luke.fi;2021-09-24T11:21:38.518000+00:00;;6997705742;1
6997735248;Suomen Pakkauskierrätys RINKI Oy;rinkiin.fi;2021-09-17T12:40:23.247000+00:00;;6997735248;1
7020318531;MRKS Photo;mrksphoto.fi;2021-09-28T12:59:46.349000+00:00;;7020318531;1
7021992333;NIB;nib.int;2021-09-28T15:57:36.310000+00:00;;7021992333;1
7026415375;Respecta;respecta.fi;2021-09-29T08:32:22.793000+00:00;;7026415375;1
7027072831;Sampo;edusampo.fi;2021-09-29T08:14:03.621000+00:00;;7027072831;1
7035257528;Keravan Kaupunki - Kervo Stad - City Of Kerava;kerava.fi;2021-09-30T05:57:38.260000+00:00;;7035257528;1
7035260579;Piristeel Oy;piristeel.fi;2021-09-30T06:38:13.935000+00:00;;7035260579;1
7035415359;Marine Diesel;marinediesel.fi;2021-09-30T06:48:20.391000+00:00;;7035415359;1
7036242321;Himos-Yhtiot;himos.fi;2021-09-30T09:38:42.134000+00:00;;7036242321;1
7060850822;Alepa - HOK-Elanto;alepa.fi;2021-10-05T09:49:31.764000+00:00;;7060850822;1
7081736825;Matkahuolto;matkahuolto.fi;2021-10-08T11:07:17.679000+00:00;;7081736825;1
7082337883;Vieser Oy (part of the Paree Group);vieser.fi;2021-10-08T13:24:36.693000+00:00;;7082337883;1
7082409131;Broman;bromangroup.fi;2021-10-08T13:30:24.968000+00:00;;7082409131;1
7082409365;Neles.com;neles.com;2021-10-08T13:33:27.569000+00:00;;7082409365;1
7082409629;Kemppi;kemppi.com;2021-10-08T13:36:31.072000+00:00;;7082409629;1
7082411902;Peikko;peikko.fi;2021-10-08T13:40:14.838000+00:00;;7082411902;1
7082457138;HRK-Konevuokraamot;hrk.fi;2021-10-08T13:58:44.260000+00:00;;7082457138;1
7082463414;AQVA Finland Oy;aqva.fi;2021-10-08T13:56:08.531000+00:00;;7082463414;1
7082463552;Porkka Finland Festivo Group;porkka.com;2021-10-08T13:57:22.286000+00:00;;7082463552;1
7082550935;Meira Nova Oy;meiranova.fi;2021-10-08T14:22:59.742000+00:00;;7082550935;1
7082560924;Lojer Group;lojer.com;2021-10-08T14:08:55.416000+00:00;;7082560924;1
7082561159;Häggblom Group;haggblom.fi;2021-10-08T14:11:44.652000+00:00;;7082561159;1
7082599986;Katsa-Yhtiöt;katsa.fi;2021-10-08T14:31:57.555000+00:00;;7082599986;1
7082600304;Tiera;tiera.fi;2021-10-08T14:36:08.001000+00:00;;7082600304;1
7082600368;Lapp Automaatio;lappautomaatio.fi;2021-10-08T14:37:15.377000+00:00;;7082600368;1
7082600829;Finefoods Oy;finefoods.fi;2021-10-08T14:42:32.529000+00:00;;7082600829;1
7082706257;SEY Suomen eläinsuojelu;sey.fi;2021-10-08T14:40:26.427000+00:00;;7082706257;1
7085457562;Wihuri-konserni;wihuri.fi;2021-10-09T06:42:21.244000+00:00;;7085457562;1
7085457765;Merivaara Corporation;merivaara.fi;2021-10-09T07:17:19.881000+00:00;;7085457765;1
7085457962;Marimekko;marimekko.com;2021-10-09T07:44:40.535000+00:00;;7085457962;1
7085467564;Mitsubishi Rocla AGV Solutions;https://www.rocla-agv.com/en;2021-10-09T06:36:40.761000+00:00;;7085467564;1
7086230531;Tampereen Luontokauppa;tampereenluontokauppa.fi;2021-10-09T08:03:05.793000+00:00;;7086230531;1
7086230640;KSSHP Keski-Suomen sairaanhoitopiiri;ksshp.fi;2021-10-09T08:23:46.088000+00:00;;7086230640;1
7086432286;Yetitablet;yetitablet.com;2021-10-09T12:59:17.244000+00:00;;7086432286;1
7086443577;Asfalttikallio Oy;asfalttikallio.fi;2021-10-09T13:03:56.370000+00:00;;7086443577;1
7088712288;Airam;airam.fi;2021-10-10T12:32:01.847000+00:00;;7088712288;1
7088732739;Fortaco Group;fortacogroup.com;2021-10-10T13:13:45.368000+00:00;;7088732739;1
7088732750;Westas;westas.fi;2021-10-10T13:16:47.259000+00:00;;7088732750;1
7088757048;SLO Oy;slo.fi;2021-10-10T13:41:15.461000+00:00;;7088757048;1
7091028737;Inex Partners Oy;inex.fi;2021-10-11T08:33:27.670000+00:00;;7091028737;1
7091092042;Tampereen yliopistollinen sairaala;tays.fi;2021-10-11T09:22:38.247000+00:00;;7091092042;1
7091107606;Suomen Pankki -S;suomenpankki.fi;2021-10-11T09:37:19.961000+00:00;;7091107606;1
7091439433;Moilas;moilas.fi;2021-10-11T11:02:24.539000+00:00;;7091439433;1
7093000468;Siun sote;siunsote.fi;2021-10-11T14:58:18.886000+00:00;;7093000468;1
7094068138;Ruohonjuuri;ruohonjuuri.fi;2021-10-11T19:29:00.457000+00:00;;7094068138;1
7094068339;Jyvaskylan Kaupunki - City Of Jyvaskyla;jyvaskyla.fi;2021-10-11T19:31:56.479000+00:00;;7094068339;1
7094068537;Keksi Agency;keksiagency.fi;2021-10-11T19:35:21.471000+00:00;;7094068537;1
7094254890;Baltic Sea Action Group;bsag.fi;2021-10-11T19:10:25.247000+00:00;;7094254890;1
7094254952;Oulun;oulunenergia.fi;2021-10-11T19:11:52.093000+00:00;;7094254952;1
7094388001;Suomen Punainen Risti;redcross.fi;2021-10-11T19:28:20.367000+00:00;;7094388001;1
7096811076;VeraVia;veravia.com;2021-10-12T09:37:28.667000+00:00;;7096811076;1
7096991847;Manner Taidetarvikkeet;mannertaidetarvikkeet.fi;2021-10-12T07:53:48.143000+00:00;;7096991847;1
7097145151;Finnish Fund for Industrial Cooperation Ltd;finnfund.fi;2021-10-12T09:38:21.130000+00:00;;7097145151;1
7097260630;Avecra Oy;avecra.fi;2021-10-12T10:23:32.643000+00:00;;7097260630;1
7097350936;Mediaattori Oy;mediaattori.fi;2021-10-12T10:30:19.577000+00:00;;7097350936;1
7103323563;Tampereen steinerkoulu;tampereensteinerkoulu.fi;2021-10-13T08:44:20.773000+00:00;;7103323563;1
7110840892;Axel Johnson International AB;axinter.com;2021-10-14T07:35:01.899000+00:00;;7110840892;1
7110970210;MM Group;mm.group;2021-10-14T08:25:23.162000+00:00;;7110970210;1
7111093561;Ostinato Oy;ostinato.fi;2021-10-14T09:21:31.019000+00:00;;7111093561;1
7111127112;Logset;logset.com;2021-10-14T09:40:46.856000+00:00;;7111127112;1
7111137069;Konsulttitoimisto Seppo Hoffrén Oy Consultancy;ktshc.fi;2021-10-14T09:27:36.567000+00:00;;7111137069;1
7117790088;Väinö Paunu Oy;Paunu.fi;2021-10-15T14:00:57.799000+00:00;;7117790088;1
7127000892;Kuopion Kaupunki - City Of Kuopio;kuopio.fi;2021-10-18T11:27:50.044000+00:00;;7127000892;1
7127000893;Lapuan kaupunki;lapua.fi;2021-10-18T11:27:50.418000+00:00;;7127000893;1
7127007305;Täsmä Työterveys Oy;tasma.fi;2021-10-18T11:27:50.369000+00:00;;7127007305;1
7127007306;Hameenlinnan Kaupunki - City Of Hameenlinna;hameenlinna.fi;2021-10-18T11:27:50.610000+00:00;;7127007306;1
7127013391;OYS Psychiatry;ppshp.fi;2021-10-18T11:27:50.129000+00:00;;7127013391;1
7127081121;Kauniainen;kauniainen.fi;2021-10-18T11:27:50.174000+00:00;;7127081121;1
7127081122;Oulunkaari;oulunkaari.com;2021-10-18T11:27:50.319000+00:00;;7127081122;1
7127081123;Raseborg-Raasepori;raseborg.fi;2021-10-18T11:27:50.319000+00:00;;7127081123;1
7127088500;Soite;soite.fi;2021-10-18T11:27:50.095000+00:00;;7127088500;1
7127088501;khshp;khshp.fi;2021-10-18T11:27:50.175000+00:00;;7127088501;1
7127095327;Heinola;heinola.fi;2021-10-18T11:27:50.290000+00:00;;7127095327;1
7127095328;Etelä-Savon Työterveys Oy;estt.fi;2021-10-18T11:27:50.290000+00:00;;7127095328;1
7127095329;Verve Kuntoutus;verve.fi;2021-10-18T11:27:50.349000+00:00;;7127095329;1
7127095330;Vaasan kaupunki - Vasa stad;vaasa.fi;2021-10-18T11:27:50.369000+00:00;;7127095330;1
7127095331;Finla Työterveys;finla.fi;2021-10-18T11:27:50.421000+00:00;;7127095331;1
7127103329;polarfysio.fi;polarfysio.fi;2021-10-18T11:27:50.027000+00:00;;7127103329;1
7127103330;FSHKY - Forssan seudun hyvinvointikuntayhtymä - Welfare District of Forssa;fshky.fi;2021-10-18T11:27:50.318000+00:00;;7127103330;1
7127103331;pelsavu.fi;pelsavu.fi;2021-10-18T11:27:50.369000+00:00;;7127103331;1
7127109544;Eiran sairaala ja lääkäriasema;eiransairaala.fi;2021-10-18T11:27:50.318000+00:00;;7127109544;1
7127109545;harmankuntokeskus.fi;harmankuntokeskus.fi;2021-10-18T11:27:50.319000+00:00;;7127109545;1
7127116875;Kuusamo;kuusamo.fi;2021-10-18T11:27:50.081000+00:00;;7127116875;1
7127116876;Aava;aava.fi;2021-10-18T11:27:50.129000+00:00;;7127116876;1
7127116878;kalliopp.fi;kalliopp.fi;2021-10-18T11:27:50.318000+00:00;;7127116878;1
7127116879;Folkhälsan;folkhalsan.fi;2021-10-18T11:27:50.349000+00:00;;7127116879;1
7127116881;Lohjan Kaupunki;lohja.fi;2021-10-18T11:27:50.418000+00:00;;7127116881;1
7127116883;Vetrea;vetrea.fi;2021-10-18T11:27:50.545000+00:00;;7127116883;1
7127123782;Eksote;eksote.fi;2021-10-18T11:27:50.369000+00:00;;7127123782;1
7127129962;Siun Tyoterveys;siuntyoterveys.fi;2021-10-18T11:27:50.045000+00:00;;7127129962;1
7127129963;City Of Salo - Salon Kaupunki;salo.fi;2021-10-18T11:27:50.174000+00:00;;7127129963;1
7127129964;Kainuu;kainuu.fi;2021-10-18T11:27:50.290000+00:00;;7127129964;1
7127136672;City Of Rauma;rauma.fi;2021-10-18T11:27:50.129000+00:00;;7127136672;1
7127136673;UKK-instituutti;ukkinstituutti.fi;2021-10-18T11:27:50.175000+00:00;;7127136673;1
7127136674;Raahen Neuvola;ras.fi;2021-10-18T11:27:50.369000+00:00;;7127136674;1
7127136675;Sosteri;sosteri.fi;2021-10-18T11:27:50.398000+00:00;;7127136675;1
7127136676;Seinajoen Kaupunki - City Of Seinajoki;seinajoki.fi;2021-10-18T11:27:50.419000+00:00;;7127136676;1
7127143230;lshp.fi;lshp.fi;2021-10-18T11:27:50.129000+00:00;;7127143230;1
7127143231;Pohjola Sairaala;pohjolasairaala.fi;2021-10-18T11:27:50.129000+00:00;;7127143231;1
7127362415;Sastamalan kaupunki - City of Sastamala;sastamala.fi;2021-10-18T11:27:50.319000+00:00;;7127362415;1
7127362416;Medisport Oy;medisport.fi;2021-10-18T11:27:50.420000+00:00;;7127362416;1
7127369511;Fressi;fressi.fi;2021-10-18T11:27:50.369000+00:00;;7127369511;1
7127369513;City Of Rovaniemi;rovaniemi.fi;2021-10-18T11:27:50.610000+00:00;;7127369513;1
7127375724;Kaunialan Sairaala Oy;kauniala.fi;2021-10-18T11:27:50.028000+00:00;;7127375724;1
7127382909;Kymsote;kymsote.fi;2021-10-18T11:27:50.349000+00:00;;7127382909;1
7127382910;Taukokangas;taukokangas.fi;2021-10-18T11:27:50.369000+00:00;;7127382910;1
7127396450;Kuntoutuskeskus Kankaanpää;kuntke.fi;2021-10-18T11:27:50.081000+00:00;;7127396450;1
7127396451;Orton;orton.fi;2021-10-18T11:27:50.095000+00:00;;7127396451;1
7127396452;Etelä-Pohjanmaan sairaanhoitopiiri / The Hospital District of South Ostrobothnia;epshp.fi;2021-10-18T11:27:50.349000+00:00;;7127396452;1
